ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,is_pivotal,pivotal_evidence,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,short_percent,institutional_ownership,analyst_target,analyst_rating,atr_pct,stock_movement_atr_normalized,avg_daily_move,move_class_abs,move_class_norm,move_class_combo,event_trading_date,move_2d_pct,price_before,price_after,stock_relative_move,data_complete,v_is_verified,v_actual_date,v_pr_link,v_pr_date,v_pr_title,v_pr_key_info,v_is_material,v_confidence,v_summary,v_error,v_action
QURE,2024-07-09,Gainer,76.46,6.67,Clinical Data,"uniQure announced updated interim data from phase I/II studies of AMT-130 for Huntington's disease, showing statistically significant 80% slowing of disease progression with high dose and 30% with low dose (cUHDRS at 24 months) versus control in 29 patients.",AMT-130,NCT04120493,Huntington's disease,False,,Unclear,"80% slowing (high dose), 30% slowing (low dose) vs control by cUHDRS at 24 months","A Phase 1/2, Randomized, Double-Blind, Sham Control and Open-Label Study to Explore Safety, Tolerability, and Efficacy Signals of Multiple Doses of Striatally-Administered rAAV5-miHTT Total Huntingtin Gene (HTT) Lowering Therapy (AMT-130) in Early Manifest Huntington's Disease",Phase 1/2,43.0,Huntington's Disease,ACTIVE_NOT_RECRUITING,UniQure Biopharma B.V.,NON_RANDOMIZED,2029-06,128.5,4.85,264.3,12.4,74.2,12.5,Buy,6.14,12.45,2.49,VeryHigh,Extreme,High,2024-07-09,,,,High,True,,,,,,,,,,,
KROS,2024-12-12,Loser,-73.15,18.43,Clinical Data,"Keros Therapeutics halted dosing in the 3.0 mg/kg and 4.5 mg/kg treatment arms of its Phase 2 TROPOS trial of cibotercept for pulmonary arterial hypertension on December 12, 2024, after identifying unexpected adverse events including pericardial effusion (fluid buildup around the heart), causing the stock to lose 73% of its value.",cibotercept (KER-012),NCT05975905,Pulmonary Arterial Hypertension (PAH),False,,,,"A Randomized, Phase 2, Double-blind, Placebo-controlled Study to Investigate the Safety and Efficacy of KER-012 in Combination With Background Therapy in Adult Participants With Pulmonary Arterial Hypertension (TROPOS Study)",Phase 2,113.0,Pulmonary Arterial Hypertension,COMPLETED,"Keros Therapeutics, Inc.",RANDOMIZED,2025-03-05,505.13,16.58,693.47,0.14,0.96,23.0,buy,5.35,13.67,3.62,VeryHigh,Extreme,High,2024-12-12,,,,High,True,,,,,,,,,,,
ANRO,2024-10-23,Loser,-69.99,4.36,Clinical Data,"Alto Neuroscience's ALTO-100 failed to meet its primary endpoint in a Phase 2 study for major depressive disorder, showing no significant improvement in depressive symptoms compared to placebo in patients with a memory-based cognitive biomarker, causing a 64% pre-market stock decline on January 22, 2026.",ALTO-100,NCT06656416,Major Depressive Disorder (MDD),False,,No,Did not show significant improvement in depressive symptoms compared to placebo,"A Randomized, Double-Blind, Placebo-Controlled Study Followed by Open-Label Treatment of ALTO-100 in Adults With Bipolar Disorder Currently Experiencing a Major Depressive Episode",Phase 2,200.0,Bipolar Disorder I or II With a Major Depressive Episode,RECRUITING,Alto Neuroscience,RANDOMIZED,2026-08,452.3,12.45,128.7,7.2,68.4,18.5,Buy,5.82,12.03,3.71,VeryHigh,Extreme,High,2024-10-23,,,,High,True,,,,,,,,,,,
IVVD,2025-02-05,Gainer,68.8,2.11,Clinical Data,"Invivyd announced positive Phase 1/2 clinical data on February 3, 2025, which drove the stock surge on February 5, 2025.",,NCT05791318,COVID-19,False,,Unclear,,"A Phase 1, Randomized, Triple-Blind, Placebo-Controlled, Single Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of the Monoclonal Antibody VYD222 in Healthy Adult Participants",Phase 1,30.0,COVID-19,COMPLETED,"Invivyd, Inc.",RANDOMIZED,2024-05-08,439.9,1.56,84.97,0.1,0.82,10.0,strong_buy,9.61,7.16,16.16,VeryHigh,High,High,2025-02-05,,,,High,True,,,,,,,,,,,
VERA,2025-06-02,Gainer,67.49,31.74,Clinical Data,"Vera Therapeutics' stock surged 67.5% to close at $31.74 on June 2, 2025, following positive clinical trial results, though specific efficacy data is not detailed in available search results.",,NCT00624468,Optic Neuritis,False,,Unclear,,"A Two-arm, Randomized, Double-blind, Placebo-controlled, Multicenter Phase II Study to Evaluate Safety and Tolerability and to Explore the Neuroprotective Effect of Atacicept as Assessed by Optical Coherence Tomography (OCT) in Subjects With Optic Neuritis (ON) as Clinically Isolated Syndrome (CIS) Over a 36-week Treatment Course",Phase 2,34.0,Optic Neuritis,TERMINATED,EMD Serono,RANDOMIZED,2009-09,1860.0,29.22,497.39,0.13,1.11,61.5,Buy,5.08,13.29,3.09,VeryHigh,Extreme,High,2025-06-02,,,,High,True,,,,,,,,,,,
VSTM,2024-05-24,Loser,-66.17,4.12,Clinical Data,"Verastem announced a rolling FDA submission for avutometinib plus defactinib in recurrent low-grade serous ovarian cancer (LGSOC), but the response rate in the RAMP 201 trial declined from an initially reported 45% to 27% overall (37% in KRAS mutant patients), and the addressable population was narrowed to only KRAS-mutated patients, causing a 66% stock decline.",avutometinib plus defactinib,NCT05669482,Recurrent low-grade serous ovarian cancer (LGSOC),True,rolling submission of the NDA to the FDA for accelerated approval,No,27% overall response rate (45% previously reported in December 2023); 37% in KRAS mutant patients; 15% in patients with no KRAS mutation,A Phase 1b/2a Study of Gemcitabine and Nab-paclitaxel in Combination With Avutometinib (VS-6766) and Defactinib in Patients With Previously Untreated Metastatic Adenocarcinoma of the Pancreas,Phase 1/2,40.0,KRAS Activating Mutation; Metastatic Cancer; Pancreas Cancer; Neoplasms Pancreatic; Malignant Neoplasm of Pancreas,ACTIVE_NOT_RECRUITING,"Verastem, Inc.",NON_RANDOMIZED,2026-08-31,427.44,5.67,137.71,0.24,0.99,16.57,strong_buy,6.73,9.83,3.29,VeryHigh,Extreme,High,2024-05-24,,,,High,True,,,,,,,,,,,
FULC,2024-09-12,Loser,-61.13,3.44,Clinical Data,"Fulcrum Therapeutics' losmapimod failed to meet the primary endpoint in the Phase 3 REACH study for facioscapulohumeral muscular dystrophy (FSHD), showing only a 0.013 improvement in RSA compared to 0.010 in placebo at week 48, causing a 61.1% stock decline on September 12, 2024.",losmapimod,NCT04264442,Facioscapulohumeral muscular dystrophy (FSHD),True,"The REACH study was the Phase 3 trial evaluating losmapimod for FSHD treatment, representing the pivotal efficacy study for this indication.",No,0.013 improvement in RSA (losmapimod) vs 0.010 improvement in RWS (placebo) at week 48,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, 48-Week, Parallel-Group Study of the Efficacy and Safety of Losmapimod in Treating Subjects With Facioscapulohumeral Muscular Dystrophy (FSHD) With Open-Label Extension (OLE)",Phase 2,76.0,Facioscapulohumeral Muscular Dystrophy (FSHD),TERMINATED,Fulcrum Therapeutics,,2024-11-07,701.26,10.63,200.64,0.08,0.88,19.1,buy,7.44,8.22,3.39,VeryHigh,Extreme,High,2024-09-12,,,,High,True,,,,,,,,,,,
VIR,2025-01-08,Gainer,58.17,12.48,Clinical Data,"Vir Biotechnology presented encouraging Phase 1 data on January 8, 2025 for two dual-masked T-cell engagers: VIR-5818 showing 50% tumor shrinkage in HER2-positive solid tumors and VIR-5500 showing 58% PSA50 response rate in metastatic castration-resistant prostate cancer, driving a 58% stock price increase.",VIR-5818 and VIR-5500,NCT05356741,HER2-positive solid tumors and metastatic castration-resistant prostate cancer (mCRPC),False,,Yes,VIR-5818: 50% (10/20) of participants at doses ≥400 µg/kg experienced tumor shrinkage; VIR-5500: 58% (7/12) PSA50 response rate with only 25% CRS (none grade 3),"A Phase 1, Multicenter, Open-Label, First-in-Human Study of the Safety and Pharmacokinetics of VIR-5818 Alone and in Combination With Pembrolizumab in Participants With Locally Advanced or Metastatic HER2-Expressing Cancers",Phase 1/2,645.0,Locally Advanced or Metastatic HER2-Expressing Cancers,RECRUITING,"Vir Biotechnology, Inc.",NON_RANDOMIZED,2027-08-16,844.0,6.06,506.51,0.14,0.8,17.08,strong_buy,4.64,12.54,2.22,VeryHigh,Extreme,High,2025-01-08,,,,High,True,,,,,,,,,,,
SMMT,2024-09-09,Gainer,55.99,19.14,Clinical Data,"Summit Therapeutics announced Phase 3 trial results on September 8, 2024, showing ivonescimab achieved 11.4 months progression-free survival compared to 5.82 months for Keytruda, representing a 5.3-month improvement and 49% reduction in disease progression or death risk in advanced non-small cell lung cancer.",ivonescimab,NCT07229417,Advanced non-small cell lung cancer (PD-L1-positive),True,First drug to improve over the incumbent Keytruda materially in a randomized late-stage clinical trial,Yes,11.4 months PFS vs 5.82 months for Keytruda; 49% reduction in disease progression or death risk,IvoLoC Trial: A Phase II Trial Evaluating the Efficacy of Ivonescimab in Metastatic Endocrine Refractory HR-positive HER2-negative or Triple Negative Invasive Lobular Carcinoma,Phase 2,29.0,Metastatic Endocrine Refractory; Triple Negative Invasive Lobular Carcinoma,RECRUITING,M.D. Anderson Cancer Center,,2027-09-30,2850.0,12.45,182.0,22.5,78.3,28.5,Strong Buy,8.07,6.94,2.99,VeryHigh,High,High,2024-09-09,,,,High,True,,,,,,,,,,,
JANX,2025-12-02,Loser,-53.34,15.86,Clinical Data,"Janux Therapeutics reported Phase 1a/1b interim results for JANX007 on December 1, 2025, showing a 30% response rate among 27 evaluable patients (down from 50% in prior data), radiographic progression-free survival of 7.9-8.9 months, and deep PSA declines, triggering a 48-50% stock decline as analysts expressed concerns about durability and efficacy compared to competitor Pluvicto.",JANX007,NCT05519449,Metastatic castration-resistant prostate cancer (mCRPC),False,,Unclear,30% response rate (27 evaluable patients); 7.9-8.9 months radiographic progression-free survival; deep PSA declines,"A Phase 1, Open-Label, Multicenter Study of JANX007 in Subjects With Metastatic Castration-Resistant Prostate Cancer",Phase 1,272.0,Prostate Cancer; Metastatic Castration-resistant Prostate Cancer; Castration Resistant Prostatic Cancer,RECRUITING,Janux Therapeutics,NON_RANDOMIZED,2027-07,1425.0,8.45,372.0,12.3,78.5,15.2,Buy,5.96,8.95,3.45,VeryHigh,Extreme,High,2025-12-02,,,,High,True,,,,,,,,,,,
ALT,2025-06-26,Loser,-53.18,3.61,Clinical Data,"Altimmune announced topline results from its IMPACT Phase 2b trial of pemvidutide for MASH treatment on June 26, 2025, which met the primary endpoint of MASH resolution but failed to achieve statistical significance in the secondary fibrosis reduction endpoint, citing higher-than-expected placebo response.",Pemvidutide,NCT06987513,Metabolic dysfunction-associated steatohepatitis (MASH),True,The trial was referred to as the IMPACT Phase 2b trial with potential for accelerated approval conditional on Phase 3 outcomes,No,Failed to achieve statistical significance in fibrosis reduction endpoint; higher-than-expected placebo response cited,"RECLAIM STUDY: A Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study Evaluating the Efficacy and Safety of Pemvidutide in the Treatment of Alcohol Use Disorder (AUD) in Subjects With Obesity or Overweight",Phase 2,100.0,Alcohol Use Disorder (AUD),ACTIVE_NOT_RECRUITING,"Altimmune, Inc.",RANDOMIZED,2026-05,567.3,4.53,210.78,0.19,0.49,17.67,buy,7.67,6.93,3.14,VeryHigh,High,High,2025-06-26,,,,High,True,,,,,,,,,,,
TNGX,2025-05-19,Gainer,52.67,2.29,Clinical Data,"Tango Therapeutics announced initiation of TNG462-C102, a Phase 1/2 study evaluating TNG462 in combination with RMC-6236 or RMC-9805 in patients with MTAP loss and RAS mutant metastatic pancreatic adenocarcinoma or non-small cell lung cancer, with study start date of May 31, 2025.",TNG462,NCT06922591,Pancreatic adenocarcinoma (PDAC) and non-small cell lung cancer (NSCLC) with MTAP loss and RAS mutation,False,,,,,,,,,,,,245.3,3.87,68.4,4.2,28.7,11.5,Buy,12.1,4.35,6.06,VeryHigh,Medium,High,2025-05-19,,,,High,True,,,,,,,,,,,
RLAY,2024-09-09,Gainer,52.4,9.51,Clinical Data,"Relay Therapeutics announced positive interim data from the Phase 1/2 ReDiscover trial of RLY-2608 in combination with Faslodex, showing 45% ORR and 64% clinical benefit rate in heavily pretreated PI3Kα-mutated, HR+/HER2- metastatic breast cancer patients.",RLY-2608,NCT06982521,"PI3Kα-mutated, HR+/HER2- metastatic breast cancer",False,,,,"A Phase 3 Open-Label Randomized Study Assessing the Efficacy and Safety of RLY-2608 + Fulvestrant Versus Capivasertib + Fulvestrant as Treatment for PIK3CA-mutant Hormone Receptor Positive, Human Epidermal Growth Factor Receptor 2 Negative (HR+/HER2-) Locally Advanced or Metastatic Breast Cancer Following Recurrence or Progression On or After Treatment With a CDK4/6 Inhibitor",Phase 3,540.0,PIK3CA Mutation; HER2- Negative Breast Cancer; Hormone Receptor Positive Tumor; Breast Cancer; Metastatic Breast Cancer; Advanced Breast Cancer,RECRUITING,"Relay Therapeutics, Inc.",RANDOMIZED,2028-04-30,1547.77,8.93,596.43,0.17,1.02,14.7,strong_buy,7.47,7.01,3.07,VeryHigh,High,High,2024-09-09,,,,High,True,,,,,,,,,,,
IMRX,2025-06-18,Gainer,52.2,2.77,Clinical Data,"Immuneering reported that atebimetinib in combination with modified gemcitabine/nab-paclitaxel achieved 64% overall survival at 12 months in first-line pancreatic cancer patients, compared to 35% with standard of care treatment.",atebimetinib,NCT05585320,First-line pancreatic cancer,False,The company is now looking to start dosing the first patient in the pivotal late-stage trial in mid-2026.,Yes,64% overall survival at 12 months vs 35% standard of care,"A Phase 1/2a, Open-Label, Multicenter, Nonrandomized, Safety and Anti-tumor Activity Study of IMM-1-104, a Novel Oral Dual MEK1/2 Inhibitor in Participants With Advanced or Metastatic Solid Tumors",Phase 1/2,209.0,Advanced Solid Tumor; Pancreatic Adenocarcinoma; Malignant Melanoma (Cutaneous); Non-small Cell Lung Cancer (NSCLC),ACTIVE_NOT_RECRUITING,Immuneering Corporation,NON_RANDOMIZED,2026-06,45.2,1.23,28.5,12.4,15.7,5.5,Buy,9.18,5.69,5.39,VeryHigh,High,High,2025-06-18,,,,High,True,,,,,,,,,,,
QURE,2024-07-10,Gainer,51.72,10.12,Clinical Data,"uniQure announced interim Phase I/II clinical trial data for AMT-130 showing 80% slowing of disease progression in high-dose patients and 30% in low-dose patients at 24 months, with an 11% mean reduction in CSF NfL biomarker.",AMT-130,NCT04120493,Huntington's disease,False,,Yes,"80% slowing in high-dose group, 30% slowing in low-dose group, 11% mean reduction in CSF NfL","A Phase 1/2, Randomized, Double-Blind, Sham Control and Open-Label Study to Explore Safety, Tolerability, and Efficacy Signals of Multiple Doses of Striatally-Administered rAAV5-miHTT Total Huntingtin Gene (HTT) Lowering Therapy (AMT-130) in Early Manifest Huntington's Disease",Phase 1/2,43.0,Huntington's Disease,ACTIVE_NOT_RECRUITING,UniQure Biopharma B.V.,NON_RANDOMIZED,2029-06,128.5,4.85,264.3,12.4,74.2,12.5,Buy,5.81,8.9,2.43,VeryHigh,Extreme,High,2024-07-10,,,,High,True,,,,,,,,,,,
CTMX,2024-05-09,Loser,-51.31,2.04,Clinical Data,"CytomX Therapeutics announced disappointing Phase 1a clinical trial results for CX-904 on May 9, 2024, showing measurable tumor reduction in only 8 of 35 enrolled patients, causing the stock to drop 43%.",CX-904,NCT05387265,cancer,False,,No,8/35 patients with measurable tumor reduction,"A Phase 1/1b, Open-label, Dose-finding, First-in-human Study to Evaluate the Safety and Antitumor Activity of CX-904, an EGFR-targeted T-cell Engager in Advanced Solid Tumors (CTMX-904-101)",Phase 1,83.0,Solid Tumors,TERMINATED,CytomX Therapeutics,,2025-06-04,901.4,5.32,143.63,0.09,0.94,9.0,buy,13.52,3.8,13.78,VeryHigh,Medium,High,2024-05-09,,,,High,True,,,,,,,,,,,
AGIO,2025-11-19,Loser,-50.89,22.34,Clinical Data,"Agios Pharmaceuticals' stock plunged over 50% on November 19, 2025, after mixed Phase 3 RISE UP trial results for mitapivat in sickle cell disease, where the primary endpoint of hemoglobin response was met but it failed to show a meaningful reduction in pain crises.[1][2][3]",mitapivat,NCT05144256,sickle cell disease,True,pivotal RISE UP Phase 3 trial[2][3],Yes,,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Mitapivat in Pediatric Subjects With Pyruvate Kinase Deficiency Who Are Regularly Transfused, Followed by a 5-Year Open-label Extension Period",Phase 3,49.0,Pediatric Pyruvate Kinase Deficiency; Pediatric Hemolytic Anemia,ACTIVE_NOT_RECRUITING,"Agios Pharmaceuticals, Inc.",RANDOMIZED,2024-05-03,1638.24,27.96,854.43,0.12,1.07,38.12,buy,4.82,10.56,2.22,VeryHigh,Extreme,High,2025-11-19,,,,High,True,,,,,,,,,,,
IMRX,2024-03-14,Loser,-50.68,2.9,Clinical Data,"Immuneering reported Phase 2a data for atebimetinib in combination with modified gemcitabine/nab-paclitaxel showing positive overall survival, response, and safety outcomes for pancreatic cancer, but the stock fell approximately 30-40% due to comparisons being made to historical benchmarks rather than a randomized control arm, combined with concerns about long Phase 3 timelines and equity dilution.",atebimetinib,NCT05585320,Pancreatic cancer,False,,Unclear,,"A Phase 1/2a, Open-Label, Multicenter, Nonrandomized, Safety and Anti-tumor Activity Study of IMM-1-104, a Novel Oral Dual MEK1/2 Inhibitor in Participants With Advanced or Metastatic Solid Tumors",Phase 1/2,209.0,Advanced Solid Tumor; Pancreatic Adenocarcinoma; Malignant Melanoma (Cutaneous); Non-small Cell Lung Cancer (NSCLC),ACTIVE_NOT_RECRUITING,Immuneering Corporation,NON_RANDOMIZED,2026-06,45.2,1.23,28.5,12.4,15.7,5.5,Buy,7.83,6.47,2.54,VeryHigh,High,High,2024-03-14,,,,High,True,,,,,,,,,,,
CMPS,2025-06-23,Loser,-49.24,2.35,Clinical Data,"Compass Pathways announced positive Phase 3 results for COMP360 psilocybin therapy in treatment-resistant depression, showing a 3.6-point reduction in MADRS scores vs placebo at week 6, which was statistically significant but below investor expectations of a 5-point difference, causing the stock to drop 36-49%.",COMP360,NCT06258031,treatment-resistant depression,True,late-stage trial,Yes,3.6-point reduction vs placebo on MADRS at week 6,PsilOCD: Evaluating the Effects of the 5-HT2A Agonist Psilocybin on the Neurocognitive and Clinical Correlates of Compulsivity (A Pharmacological-Challenge Feasibility Study),Phase 1,19.0,Obsessive-Compulsive Disorder,COMPLETED,Imperial College London,,2024-06-28,557.86,5.81,185.94,0.07,0.64,17.08,strong_buy,8.8,5.6,3.18,High,High,High,2025-06-23,,,,High,True,,,,,,,,,,,
