feature_name,stage,feature_type,description,source_columns,source_type,n_valid,n_null,pct_valid
feat_priority_review_flag,pass4_0b,feat,1 if priority review/PDUFA keywords found (intermediate for reg_stage_score),"pivotal_evidence, v_pr_key_info, v_summary, catalyst_summary, ct_official_title",keyword,2379,0,100.0
feat_regulatory_stage_score,pass4_0b,feat,0=none 1=pivotal/registrational 2=NDA/BLA 3=priority review/PDUFA,"feat_nda_bla_flag, feat_priority_review_flag, keyword match",deterministic,2379,0,100.0
feat_controlled_flag,pass4_0c,feat,1 if randomized OR blinded/controlled-study language in trial title,"feat_randomized_flag, ct_official_title",deterministic,2379,0,100.0
feat_trial_quality_score,pass4_0c,feat,design_score + 1×blinded_title + 0.5×breakthrough - 2×withdrawn - 2×terminated,"feat_design_quality_score, feat_breakthrough_flag, feat_withdrawn_flag, feat_terminated_flag, ct_official_title",deterministic,2330,49,97.9
feat_n_trials_for_company,pass4_0d,feat,Total dataset events for this ticker (company pipeline activity proxy),ticker,deterministic,2379,0,100.0
feat_n_unique_drugs_for_company,pass4_0d,feat,Distinct drug_names per ticker (pipeline breadth),"drug_name, ticker",deterministic,2379,0,100.0
feat_single_asset_company_flag,pass4_0d,feat,1 if n_unique_drugs_for_company <= 1 (single-asset company),feat_n_unique_drugs_for_company,deterministic,2379,0,100.0
feat_lead_asset_dependency_score,pass4_0d,feat,1.0 (1 drug) | 0.7 (2) | 0.4 (3-4) | 0.2 (5+) — pipeline concentration proxy,feat_n_unique_drugs_for_company,deterministic,2379,0,100.0
feat_n_late_stage_trials_for_company,pass4_0d,feat,Count of late-stage (>=Ph2/3) trials for this company in dataset,"feat_late_stage_flag, feat_phase_num, ticker",deterministic,2379,0,100.0
feat_pipeline_concentration_simple,pass4_0d,feat,lead_asset_dep × late_frac — existential risk proxy (intermediate),"feat_lead_asset_dependency_score, feat_n_late_stage_trials_for_company, feat_n_trials_for_company",deterministic,2379,0,100.0
feat_volatility,pass4,feat,"atr_pct — pre-event 20-day Wilder ATR as fraction of price; strictly backward-looking, pre-event safe",atr_pct,deterministic,2375,4,99.8
feat_mesh_level1_encoded,pass4,feat,Ordinal int encoding of mesh_level1 (1=Oncology … 11=Other); same map as completeness_pass.py,mesh_level1,deterministic,2070,309,87.0
feat_terminated_at_event_flag,pass4_pit,feat,1 if AACT monthly snapshot status == TERMINATED at closest month ≤ event date (point-in-time; fixes SNAPSHOT_UNSAFE feat_terminated_flag). Falls back to feat_terminated_flag when ct_status_at_event is null.,"ct_status_at_event, feat_terminated_flag",deterministic,2379,0,100.0
feat_withdrawn_at_event_flag,pass4_pit,feat,1 if AACT monthly snapshot status == WITHDRAWN at closest month ≤ event date (point-in-time; fixes SNAPSHOT_UNSAFE feat_withdrawn_flag). Falls back to feat_withdrawn_flag when ct_status_at_event is null.,"ct_status_at_event, feat_withdrawn_flag",deterministic,2379,0,100.0
feat_has_predictive_biomarker,pass4_6b,feat,1 if a known predictive biomarker routinely guides treatment selection for this disease (LLM-classified from indication text; pre-event safe: inherent disease property),"indication, disease_has_predictive_biomarker",llm_perplexity,2379,0,100.0
feat_genetic_basis,pass4_6b,feat,"Primary genetic basis: none (infectious/environmental) / monogenic (single gene) / polygenic (multi-gene) / somatic (acquired mutations, e.g. cancers) (LLM-classified from indication text; pre-event safe)","indication, disease_genetic_basis",llm_perplexity,2379,0,100.0
feat_targeted_therapy_exists,pass4_6b,feat,1 if an approved or late-stage (Ph3+) therapy targeting a specific validated molecular target exists for this disease (LLM-classified from indication text; pre-event safe),"indication, disease_targeted_therapy_exists",llm_perplexity,2379,0,100.0
feat_log_market_cap,pass4,feat,log10(market_cap_m) — order-of-magnitude market cap signal. market_cap_m is from yfinance current snapshot (mildly SNAPSHOT_UNSAFE) but stable at order-of-magnitude level. Was in training roster since v1 but never computed (imputed to median). Fixed in v12.,market_cap_m,deterministic,1480,899,62.2
feat_market_cap_bucket,pass4,feat,"Biotech market cap tier: micro (<$300M), small ($300M-$2B), mid ($2B-$10B), large (>$10B). Used as groupby key for fold-safe prior feat_prior_mean_abs_move_atr_by_market_cap_bucket. Fixed in v12 (was missing, causing prior to fall back to global mean for every row).",market_cap_m,deterministic,1480,899,62.2
feat_company_historical_hit_rate,pass4_0d,feat,Fraction of PRIOR events for the same ticker that were large moves (|ATR-norm move| >= 3.0 AND |move_pct| >= 10%). Backward-looking only — computed via shift(1) on date-sorted data. NaN for first ticker event. Fold-safe: uses only prior events in chronological order. Added v14.,"ticker, stock_movement_atr_normalized, move_pct, v_actual_date",deterministic,2051,328,86.2
