ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
NRC,2015-10-02,2015-10-02,NCT01609790,Bevacizumab With or Without Trebananib in Treating Patients With Recurrent Brain Tumors,PHASE2,National Cancer Institute (NCI),Giant Cell Glioblastoma; Glioblastoma; Gliosarcoma; Oligodendroglioma; Recurrent Brain Neoplasm; Recurrent Glioblastoma,137,Bevacizumab; Laboratory Biomarker Analysis; Pharmacological Study,303.8,3.02,6.55,9.2,9.48,Low,Gainer,Clinical Data,
BMY,2022-05-11,2022-05-11,NCT02935634,A Study to Test Combination Treatments in Participants With Advanced Gastric Cancer,PHASE2,Bristol-Myers Squibb,Advanced Gastric Cancer,190,Nivolumab; Ipilimumab; Relatlimab,,-0.18,0.01,65.07,64.95,Low,Loser,Clinical Data,
MRK,2018-06-07,2018-06-07,NCT03482713,Study of Gefapixant (MK-7264) in Adult Japanese Participants With Unexplained or Refractory Chronic Cough (MK-7264-033),PHASE2,Merck Sharp & Dohme LLC,Chronic Cough,23,Gefapixant 45 mg; Placebo,,0.1,1.05,46.22,46.26,Low,Gainer,Clinical Data,
TENX,2020-04-07,2020-04-07,NCT03541603,Hemodynamic Evaluation of Levosimendan in Patients With PH-HFpEF,PHASE2,"Tenax Therapeutics, Inc.","Hypertension Pulmonary Secondary; Heart Failure, Right Sided; Heart Failure With Normal Ejection Fraction",44,Levosimendan; Matching Placebo,74.9,7.54,-2.77,1040.0,1118.4,Medium,Gainer,Clinical Data,
BMY,2019-05-10,2019-05-10,NCT03357731,A Study of Continuous Infusions of HNO (Nitroxyl) Donor in Patients With Heart Failure and Impaired Systolic Function,PHASE2,Bristol-Myers Squibb,Heart Failure; Cardiac Failure; Reduced Ventricular Ejection Fraction,49,HNO Donor; Nitroglycerin (NTG); Placebo,,-0.47,-2.82,36.64,36.47,Low,Loser,Clinical Data,
PFE,2019-05-03,2019-05-03,NCT02384382,A Positron Emission Tomography/Computed Tomography (PET/CT) Bone Imaging Study in Patients Receiving Enzalutamide for Castration-Resistant Prostate Cancer (CRPC),PHASE2,Pfizer,Prostate Carcinoma Metastatic to the Bone; Castration Resistant Prostate Cancer,23,Enzalutamide,,0.93,1.56,28.02,28.28,Low,Gainer,Clinical Data,
NRC,2018-02-23,2018-02-23,NCT01778556,Short-term Effects of Leptin in People With Lipodystrophy,PHASE2,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Lipodystrophy,25,Metreleptin,303.8,2.01,1.17,25.25,25.76,Low,Gainer,Clinical Data,
BMY,2013-05-15,2013-05-15,NCT01354431,BMS-936558 (MDX-1106) In Subjects With Advanced/Metastatic Clear-Cell Renal Cell Carcinoma (RCC),PHASE2,Bristol-Myers Squibb,Renal Cell Carcinoma,168,nivolumab; nivolumab; nivolumab,,5.05,1.33,27.88,29.28,Medium,Gainer,Clinical Data,
PFE,2022-02-07,2022-02-07,NCT04413617,"TO ASSESS THE EFFICACY AND SAFETY OF PF-06650833, PF-06651600, AND TOFACITINIB ALONE AND IN COMBINATION IN PARTICIPANTS WITH ACTIVE RHEUMATOID ARTHRITIS WITH AN INADEQUATE RESPONSE TO METHOTREXATE",PHASE2,Pfizer,Rheumatoid Arthritis,460,PF-06650833; PF-06651600; Tofacitinib,,0.4,-2.45,42.77,42.93,Low,Gainer,Clinical Data,
RHHBY,2018-01-11,2018-01-11,NCT03038880,Study to Evaluate Faricimab (RO6867461; RG7716) for Extended Durability in the Treatment of Neovascular Age Related Macular Degeneration,PHASE2,Hoffmann-La Roche,"Neovascularization, Choroidal; Macular Degeneration, Age-Related",76,Faricimab; Ranibizumab; Sham Procedure,,-0.76,0.54,23.43,23.25,Low,Loser,Clinical Data,
TKNO,2021-08-26,2021-08-26,NCT03925870,KN046 in Subjects With Late Stage Esophageal Squamous Cell Carcinoma,PHASE2,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",Esophageal Squamous Cell Carcinoma,45,KN046,138.1,2.76,4.97,18.1,18.6,Low,Gainer,Clinical Data,
OGN,2022-08-24,2022-08-24,NCT05186805,"Maximal Use Study of Tapinarof Cream, 1% in Pediatric Subjects With Extensive Atopic Dermatitis",PHASE2,Organon and Co,Atopic Dermatitis,36,"Tapinarof cream, 1%",1897.7,0.47,1.4,25.47,25.59,Low,Gainer,Clinical Data,
AMGN,2017-09-04,2017-09-05,NCT02576678,"A Study of Safety, Tolerability and Pharmacokinetics of Apremilast (CC-10004) in Pediatric Subjects With Moderate to Severe Plaque Psoriasis",PHASE2,Amgen,Psoriasis,42,Apremilast,,-1.1,-0.18,138.16,136.64,Low,Loser,Clinical Data,
VIR,2021-04-08,2021-04-08,NCT04545060,VIR-7831 for the Early Treatment of COVID-19 in Outpatients,PHASE2/PHASE3,"Vir Biotechnology, Inc.",Covid19,1057,VIR-7831 (sotrovimab); Placebo,1264.6,-1.6,-5.31,45.55,44.82,Low,Loser,Clinical Data,
MNKD,2020-03-17,2020-03-17,NCT02527265,Afrezza Safety and Pharmacokinetics Study in Pediatric Patients,PHASE2,Mannkind Corporation,Type 1 Diabetes Mellitus,30,Afrezza,1007.2,25.0,17.86,0.84,1.05,High,Gainer,Clinical Data,
NRC,2021-03-30,2021-03-30,NCT04579393,Fostamatinib for Hospitalized Adults With COVID-19,PHASE2,"National Heart, Lung, and Blood Institute (NHLBI)",Coronavirus Disease 2019,59,Placebo; fostamatinib,303.8,1.33,2.09,40.73,41.28,Low,Gainer,Clinical Data,
NRC,2014-06-17,2014-06-17,NCT01547806,Collection of Transplant Stem Cells for Plasma Cell Myeloma,PHASE2,National Cancer Institute (NCI),Plasma Cell Myeloma; Multiple Myeloma,49,Filgrastim; Plerixafor; Apheresis,303.8,3.16,4.18,10.61,10.95,Low,Gainer,Clinical Data,
BHVN,2020-12-15,,NCT03605667,Study of BHV-4157 in Alzheimer's Disease,PHASE2,"Biohaven Pharmaceuticals, Inc.",Alzheimer Disease,350,troriluzole; Placebo oral capsule,1528.6,,,,,Unknown,Loser,Clinical Data,Insufficient price data
IONS,2021-01-04,2021-01-04,NCT04030598,A Study to Assess the Clinical Efficacy of Donidalorsen (Also Known as IONIS-PKK-LRx and ISIS 721744) in Participants With Hereditary Angioedema,PHASE2,"Ionis Pharmaceuticals, Inc.",Hereditary Angioedema,23,Donidalorsen; Placebo,,0.42,-1.08,56.54,56.78,Low,Gainer,Clinical Data,
VRTX,2021-12-05,2021-12-06,NCT05034952,A Study Evaluating Efficacy and Safety of VX-548 for Acute Pain After an Abdominoplasty,PHASE2,Vertex Pharmaceuticals Incorporated,Acute Pain,303,VX-548; HB/APAP; Placebo (matched to VX-548),,0.61,0.69,203.81,205.06,Low,Gainer,Clinical Data,
MRK,2019-10-28,2019-10-28,NCT03379506,Elbasvir (EBR)/Grazoprevir (GZR) in Pediatric Participants With Chronic Hepatitis C Infection (MK-5172-079),PHASE2,Merck Sharp & Dohme LLC,HCV Infection,57,EBR/GZR FDC Tablet; Placebo; Grazoprevir Oral Granules,,-0.07,3.45,63.99,63.95,Low,Loser,Clinical Data,
MRK,2021-03-08,2021-03-08,NCT03272347,Islatravir (MK-8591) With Doravirine and Lamivudine in Participants Infected With Human Immunodeficiency Virus Type 1 (MK-8591-011),PHASE2,Merck Sharp & Dohme LLC,HIV-1 Infection,123,Islatravir; Placebo to Islatravir; Doravirine,,1.42,1.38,59.1,59.94,Low,Gainer,Clinical Data,
ALDX,2021-09-12,2021-09-13,NCT04674358,The TRANQUILITY Trial: Clinical Trial to Assess the Efficacy and Safety in Subjects With Dry Eye Disease,PHASE2/PHASE3,"Aldeyra Therapeutics, Inc.",Dry Eye; Dry Eye Syndromes,329,Reproxalap Ophthalmic Solution (0.25%); Vehicle Opthalmic Solution,328.5,-3.86,-5.0,8.8,8.46,Low,Loser,Clinical Data,
MOLN,2019-01,,NCT01304485,PET Imaging Characteristics of C11-Acetate in Patients With Recurrent Prostate Carcinoma,PHASE2,Phoenix Molecular Imaging,Prostate Cancer,2000,Sodium Acetate C11,187.8,,,,,Unknown,Loser,Clinical Data,Insufficient price data
BMY,2017-11-27,2017-11-27,NCT03029780,An Investigational Immuno-Therapy Safety and Efficacy Study of Multiple Administration Regimens for Nivolumab Plus Ipilimumab in Subjects With Renal Cell Carcinoma,PHASE2,Bristol-Myers Squibb,Renal Cell Carcinoma,104,Opdivo; Yervoy,,0.29,1.77,45.64,45.77,Low,Gainer,Clinical Data,
NVS,2020-01-29,2020-01-29,NCT02993224,"Open-label, Multicenter Study Assessing Preference for Deferasirox Film-coated Tablet Compared to Dispersible Tablet",PHASE2,Novartis Pharmaceuticals,Transfusion-dependent Thalassemia; Non-transfusion-dependent Thalassemia,148,Deferasirox dispersable tablet (DT); Deferasirox film coated tablet (FCT),,0.21,0.4,73.51,73.66,Low,Gainer,Clinical Data,
SNY,2019-10-16,2019-10-16,NCT03698279,Safety and Immunogenicity of Different Dosages of High-Dose Quadrivalent Influenza Vaccine in Children 6 Months to 17 Years of Age,PHASE2,"Sanofi Pasteur, a Sanofi Company",Influenza,665,"High-Dose Quadrivalent Influenza Vaccine (QIV-HD) 30 μg (split-virion, inactivated); High-Dose Quadrivalent Influenza Vaccine (QIV-HD) 45 μg, (split-virion, inactivated); High-Dose Quadrivalent Influenza Vaccine (QIV-HD) 60 µg (split-virion, inactivated)",,0.4,2.06,36.06,36.2,Low,Gainer,Clinical Data,
OCGN,2018-03-29,2018-03-29,NCT03418727,Dry Eye Disease Study With Brimonidine,PHASE2,Ocugen,Dry Eye,84,Brimonidine; Brimonidine Mono Therapy; sodium carboxymethylcellulose,595.7,0.0,-2.18,165.0,165.0,Low,Loser,Clinical Data,
NRC,2022-01-24,2022-01-24,NCT04692766,Study to Evaluate the Efficacy and Safety of RPH-104 Treatment in Patients With Idiopathic Recurrent Pericarditis,PHASE2/PHASE3,"R-Pharm International, LLC",Pericarditis,20,RPH-104; Placebo,303.8,4.37,0.57,34.9,36.42,Low,Gainer,Clinical Data,
ALDX,2019-11-22,2019-11-22,NCT03916042,"A Multi-Center, Randomized, Double-Masked, Parallel-Group, Vehicle-Controlled, Clinical Trial of Reproxalap to Assess the Safety and Efficacy in Subjects With Dry Eye Disease",PHASE2,"Aldeyra Therapeutics, Inc.",Dry Eye,206,Reproxalap Ophthalmic Solution (0.25% Novel Formulation) QID to BID; Vehicle Ophthalmic Solution (0.25% Novel Formulation) QID to BID,328.5,5.3,14.36,5.85,6.16,Medium,Gainer,Clinical Data,
NRC,2022-07-31,2022-08-01,NCT03775070,Simvastatin Therapy in Patients With Dilated Cardiomyopathy.,PHASE2,National Taiwan University Hospital,Dilated Cardiomyopathy,8,Simvastatin,303.8,2.14,1.58,34.44,35.17,Low,Gainer,Clinical Data,
AMGN,2014-12-26,2014-12-26,NCT01696396,Abrilumab (AMG 181) in Adults With Moderate to Severe Crohn's Disease,PHASE2,Amgen,Crohn's Disease,254,Abrilumab; Placebo,,1.74,1.36,116.2,118.22,Low,Gainer,Clinical Data,
BMY,2021-09-27,2021-09-27,NCT02593786,"A Study of Safety, Tolerability and Pharmacokinetics of Nivolumab in Chinese Subjects With Previously Treated Advanced or Recurrent Solid Tumors",PHASE1/PHASE2,Bristol-Myers Squibb,Solid Tumors,58,Nivolumab,,-0.65,-0.65,50.14,49.82,Low,Loser,Clinical Data,
NVS,2021-05-13,2021-05-13,NCT04391894,A Study to Assess the Safety and Efficacy of ECF843 vs Vehicle in Subjects With Dry Eye Disease,PHASE2,Novartis Pharmaceuticals,Dry Eye,718,ECF843; ECF843 vehicle,,0.95,1.59,72.62,73.31,Low,Gainer,Clinical Data,
NRC,2018-11-08,2018-11-08,NCT02257853,Effectiveness of a Stress Reduction Intervention in Caregivers of Allogeneic Hematopoietic Stem Cell Transplant (HSCT) Recipients,PHASE2,National Institutes of Health Clinical Center (CC),"Stress, Psychological; Caregivers",53,Stress reduction intervention,303.8,-0.26,-1.0,33.35,33.27,Low,Loser,Clinical Data,
AZN,2020-11-17,2020-11-17,NCT04346199,Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.,PHASE2,AstraZeneca,COVID-19,177,Acalabrutinib,,-2.36,-4.09,99.41,97.06,Low,Loser,Clinical Data,
IONS,2018-11-28,2018-11-28,NCT03334214,"Safety, Tolerability, and Pharmacodynamics of IONIS-DGAT2Rx in Adult Patients With Type 2 Diabetes",PHASE2,"Ionis Pharmaceuticals, Inc.",Hepatic Steatosis,44,IONIS DGAT2Rx; Placebo,,4.55,3.59,55.44,57.96,Low,Gainer,Clinical Data,
BMY,2021-06-29,2021-06-29,NCT03252587,An Investigational Study to Evaluate BMS-986165 in Participants With Systemic Lupus Erythematosus,PHASE2,Bristol-Myers Squibb,Systemic Lupus Erythematosus,363,BMS-986165; Placebo,,-0.2,0.63,54.87,54.77,Low,Loser,Clinical Data,
MRK,2020-03-16,2020-03-16,NCT03217136,MK-7625A Plus Metronidazole Versus Meropenem in Pediatric Participants With Complicated Intra-Abdominal Infection (cIAI) (MK-7625A-035),PHASE2,Merck Sharp & Dohme LLC,Complicated Intra-Abdominal Infection,94,Ceftolozane/Tazobactam; Metronidazole; Meropenem,,-8.9,-2.96,60.61,55.22,Medium,Loser,Clinical Data,
TERN,2021-05-19,2021-05-19,NCT04328077,"LIFT Study: A Safety, Tolerability, Efficacy, and Pharmacokinetics Study of TERN-101 in Subjects With Non-Cirrhotic Non-Alcoholic Steatohepatitis (NASH)",PHASE2,"Terns, Inc.",NASH - Nonalcoholic Steatohepatitis,101,TERN-101; Placebo,4581.3,-1.79,-0.31,16.21,15.92,Low,Loser,Clinical Data,
PFE,2021-11-17,2021-11-17,NCT04617275,"A 12-WEEK TITRATE STUDY TO EVALUATE SAFETY, TOLERABILITY AND PHARMACODYNAMICS OF PF-06882961 IN ADULTS WITH TYPE 2 DIABETES MELLITUS AND IN NON-DIABETIC ADULTS WITH OBESITY",PHASE2,Pfizer,Diabetes; Obesity,151,PF-06882961; Placebo,,2.56,3.65,39.72,40.74,Low,Gainer,Clinical Data,
NVS,2019-12-26,2019-12-26,NCT03249714,Efficacy and Safety of Ofatumumab Compared to Placebo in Patients With Relapsing Multiple Sclerosis Followed by Extended Treatment With Open-label Ofatumumab,PHASE2,Novartis Pharmaceuticals,Relapsing Multiple Sclerosis,64,Ofatumumab; Matching placebo of ofatumumab,,-0.01,0.58,72.95,72.94,Low,Loser,Clinical Data,
AMGN,2018-05-17,2018-05-17,NCT00680992,Study of Denosumab in Subjects With Giant Cell Tumor of Bone,PHASE2,Amgen,Cancer; Giant Cell Tumors; Giant Cell Tumor of Bone; Benign Giant Cell Tumors,535,Denosumab,,0.49,1.44,137.36,138.03,Low,Gainer,Clinical Data,
NRC,2018-04-30,2018-04-30,NCT02973152,Laryngeal Reinnervation Versus Thyroplasty in Patients With Vocal Fold Weakness.,PHASE2,"Royal National Throat, Nose and Ear Hospital",Vocal Cord Paralysis Unilateral,23,Thyroplasty; Reinnervation,303.8,-2.24,4.78,28.35,27.71,Low,Loser,Clinical Data,
SRPT,2019-03-25,2019-03-25,NCT02310906,Phase I/II Study of SRP-4053 in DMD Patients,PHASE1/PHASE2,"Sarepta Therapeutics, Inc.",Duchenne Muscular Dystrophy,39,Placebo; SRP-4053,1756.2,-2.73,-0.21,122.26,118.92,Low,Loser,Clinical Data,
GILD,2022-04-05,2022-04-05,NCT03852433,Study to Assess Efficacy and Safety of Bulevirtide in Combination With Pegylated Interferon Alfa-2a in Participants With Chronic Hepatitis Delta (CHD),PHASE2,Gilead Sciences,Chronic Hepatitis Delta,175,Bulevirtide; Peginterferon Alfa-2a (PEG-IFN alfa),,-1.52,0.25,52.58,51.78,Low,Loser,Clinical Data,
IFRX,2019-05-27,2019-05-28,NCT03487276,Efficacy and Safety Study of IFX-1 in Patients With Moderate to Severe Hidradenitis Suppurativa (HS),PHASE2,InflaRx GmbH,Hidradenitis Suppurativa (HS),179,IFX-1; Placebo,62.3,4.07,3.9,35.11,36.54,Low,Gainer,Clinical Data,
NRC,2015-12-21,2015-12-21,NCT00065676,"Investigating the Use of Quercetin on Glucose Absorption in Obesity, and Obesity With Type 2 Diabetes",PHASE2,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Obesity; Diabetes,24,Quercetin; Placebo,303.8,-1.91,-1.85,13.27,13.02,Low,Loser,Clinical Data,
CLDX,2017-11-30,2017-11-30,NCT01997333,"Study of Glembatumumab Vedotin (CDX-011) in Patients With Metastatic, gpNMB Over-Expressing, Triple Negative Breast Cancer",PHASE2,Celldex Therapeutics,Metastatic gpNMB Over-expressing Triple Negative Breast Cancer,327,CDX-011; Capecitabine,1999.5,1.01,-2.02,44.55,45.0,Low,Gainer,Clinical Data,
NRC,2019-01-07,2019-01-07,NCT02583048,"Evaluating the Safety, Tolerability, and Pharmacokinetics of Bedaquiline and Delamanid, Alone and in Combination, For Drug-Resistant Pulmonary Tuberculosis",PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),Tuberculosis; HIV Infections,84,Bedaquiline; Delamanid; Dolutegravir,303.8,0.71,1.31,33.15,33.39,Low,Gainer,Clinical Data,
ABVX,2018-12-27,,NCT02990325,"A Safety, Pharmacokinetics, and Pharmacodynamics Study of ABX464 in HIV-1 Seronegative and Seropositive Adults",PHASE1/PHASE2,Abivax S.A.,HIV Infections; Health Volunteers,36,ABX464 150mg; ABX464 50mg; ABX464 50mg,9589.9,,,,,Unknown,Loser,Clinical Data,Insufficient price data
NRC,2019-04-26,2019-04-26,NCT00001849,New Imaging Techniques in the Evaluation of Patients With Ectopic Cushing Syndrome,PHASE2,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Cushing Syndrome; Endocrine Disease,95,Pentetreotide; 18F-DOPA; CT scan,303.8,0.61,1.36,34.17,34.38,Low,Gainer,Clinical Data,
NRC,2020-04-23,2020-04-23,NCT02496676,Magnesium Supplementation in People With XMEN Syndrome,PHASE1/PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),XMEN,8,Magnesium L-threonate; Placebo; Intravenous (IV) magnesium sulfate (MgSO4),303.8,-2.49,-1.82,46.44,45.29,Low,Loser,Clinical Data,
NRC,2022-04-22,2022-04-22,NCT04583969,ACTIV-5 / Big Effect Trial (BET-B) for the Treatment of COVID-19,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),COVID-19,527,Lenzilumab; Placebo; Remdesivir,303.8,-2.4,-2.69,34.58,33.75,Low,Loser,Clinical Data,
MOLN,2022-06-01,2022-06-01,NCT05372939,Study of the Efficacy and Safety of AMT-101 in Combination With Adalimumab in Subjects With Ulcerative Colitis (MARKET),PHASE2,Applied Molecular Transport,Ulcerative Colitis,51,AMT-101 (oral); Placebo (oral); Humira (adalimumab),187.8,-3.55,-8.82,7.6,7.33,Low,Loser,Clinical Data,
NRC,2019-03-18,2019-03-18,NCT02178241,Gemcitabine Hydrochloride and Eribulin Mesylate in Treating Patients With Bladder Cancer That is Advanced or Cannot Be Removed by Surgery,PHASE2,National Cancer Institute (NCI),Metastatic Ureter Carcinoma; Metastatic Urethral Carcinoma; Stage III Bladder Urothelial Carcinoma AJCC v6 and v7; Stage III Ureter Cancer AJCC v7; Stage III Urethral Cancer AJCC v7; Stage IV Bladder Urothelial Carcinoma AJCC v7; Stage IV Ureter Cancer AJCC v7; Stage IV Urethral Cancer AJCC v7; Ureter Urothelial Carcinoma; Urethral Urothelial Carcinoma,26,Eribulin Mesylate; Gemcitabine Hydrochloride,303.8,0.18,-0.15,34.5,34.56,Low,Gainer,Clinical Data,
NRC,2019-09-09,2019-09-09,NCT03719586,Investigational Therapeutics for the Treatment of People With Ebola Virus Disease,PHASE2/PHASE3,National Institute of Allergy and Infectious Diseases (NIAID),Ebola Virus,681,ZMapp; Remdesivir; MAb114,303.8,-1.26,-1.72,54.53,53.85,Low,Loser,Clinical Data,
SNY,2022-05-12,2022-05-12,NCT02841995,"A Study to Evaluate the Safety, Tolerability, and Activity of KD025 in Subjects With Chronic Graft Versus Host Disease",PHASE2,"Kadmon, a Sanofi Company",Graft vs Host Disease,54,Belumosudil (KD025),,0.99,2.58,44.67,45.11,Low,Gainer,Clinical Data,
NRC,2018-01-31,2018-01-31,NCT00902577,MRI and PET/FMISO In Assessing Tumor Hypoxia in Patients With Newly Diagnosed Glioblastoma Multiforme,PHASE2,National Cancer Institute (NCI),Adult Giant Cell Glioblastoma; Adult Glioblastoma; Adult Gliosarcoma,50,FMISO; MRI; PET,303.8,1.76,0.81,31.25,31.8,Low,Gainer,Clinical Data,
NRC,2017-12-17,2017-12-18,NCT01967537,Evaluation of 68Gallium-DOTATATE PET/CT for Detecting Neuroendocrine Tumors,PHASE2,National Cancer Institute (NCI),Neuroendocrine Tumors; Von Hippel-Lindau Syndrome; Hippel-Lindau Disease,341,68Gallium DOTATATE; Radio-guided surgery,303.8,1.9,2.19,28.89,29.44,Low,Gainer,Clinical Data,
NRC,2019-10-23,2019-10-23,NCT02311361,Immune Checkpoint Inhibition (Tremelimumab and/or MEDI4736) in Combination With Radiation Therapy in Patients With Unresectable Pancreatic Cancer,PHASE1/PHASE2,National Cancer Institute (NCI),Pancreatic Neoplasms; Pancreatic Cancer; Cancer of Pancreas; Cancer of the Pancreas; Pancreas Cancer,65,Durvalumab; Tremelimumab; Sterostatic body radiation therapy (SBRT),303.8,-0.56,-1.73,50.38,50.1,Low,Loser,Clinical Data,
GERN,2018-05-24,2018-05-24,NCT01731951,Imetelstat Sodium in Treating Participants With Primary or Secondary Myelofibrosis,PHASE2,Geron Corporation,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,80,Imetelstat,1072.4,2.99,0.43,4.68,4.82,Low,Gainer,Clinical Data,
GILD,2018-11-22,2018-11-23,NCT03036839,Ledipasvir/Sofosbuvir in Adults With Chronic Hepatitis C Virus (HCV) Infection Who Are on Dialysis for End Stage Renal Disease,PHASE2,Gilead Sciences,Hepatitis C Virus Infection,95,LDV/SOF,,-0.22,0.3,50.26,50.15,Low,Loser,Clinical Data,
PTCT,2019-06-03,2019-06-03,NCT03796637,A Study to Assess Dystrophin Levels in Participants With Nonsense Mutation Duchenne Muscular Dystrophy (nmDMD) Who Have Been Treated With Ataluren,PHASE2,PTC Therapeutics,Duchenne Muscular Dystrophy,6,Ataluren,5474.9,-0.37,2.42,40.1,39.95,Low,Loser,Clinical Data,
NRC,2017-06-30,2017-06-30,NCT01189266,Vorinostat and Radiation Therapy Followed by Maintenance Therapy With Vorinostat in Treating Younger Patients With Newly Diagnosed Diffuse Intrinsic Pontine Glioma,PHASE1/PHASE2,National Cancer Institute (NCI),Anaplastic Astrocytoma; Anaplastic Oligoastrocytoma; Diffuse Intrinsic Pontine Glioma; Gliosarcoma,79,3-Dimensional Conformal Radiation Therapy; Intensity-Modulated Radiation Therapy; Laboratory Biomarker Analysis,303.8,-0.19,0.56,22.64,22.6,Low,Loser,Clinical Data,
QURE,2019-11-27,2019-11-27,NCT03300453,Intracerebral Gene Therapy in Children With Sanfilippo Type B Syndrome,PHASE1/PHASE2,UniQure Biopharma B.V.,Sanfilippo Syndrome B,4,rAAV2/5-hNAGLU,973.6,-0.07,-0.73,56.07,56.03,Low,Loser,Clinical Data,
MDGL,2017-10-25,2017-10-25,NCT02912260,Phase 2 Study of MGL-3196 in Patients With Non-Alcoholic Steatohepatitis (NASH),PHASE2,"Madrigal Pharmaceuticals, Inc.",Non-alcoholic Steatohepatitis,125,MGL-3196; Placebo,9811.3,-1.79,1.75,44.62,43.82,Low,Loser,Clinical Data,
